query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F1.txt, 0:12.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F2.txt, 0:41.60
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F3.txt, 0:04.28
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F4.txt, 0:30.83
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F5.txt, 1:03.58
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L1.txt, 0:14.00
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L2.txt, 0:42.11
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L3.txt, 0:07.17
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L4.txt, 0:13.52
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L5.txt, 2:31.55
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S1.txt, 0:47.47
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S2.txt, 0:32.59
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S3.txt, 0:37.03
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S4.txt, 0:40.55
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S5.txt, 0:50.44
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S6.txt, 0:17.83
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S7.txt, 0:00.69
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C1.txt, 1:54.76
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C2.txt, 5:48.51
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C3.txt, 35:36.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F1.txt, 0:13.48
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F2.txt, 0:42.56
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F3.txt, 0:02.41
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F4.txt, 0:36.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F5.txt, 0:53.16
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L1.txt, 0:48.29
