query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F1.txt, 0:20.25
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F2.txt, 1:11.94
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F3.txt, 0:05.00
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F4.txt, 0:51.56
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F5.txt, 1:43.26
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L1.txt, 0:22.28
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L2.txt, 1:11.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L3.txt, 0:11.51
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L4.txt, 0:21.15
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L5.txt, 3:53.91
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S1.txt, 1:18.92
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S2.txt, 0:58.73
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S3.txt, 1:06.12
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S4.txt, 1:11.49
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S5.txt, 1:23.07
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S6.txt, 0:27.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S7.txt, 0:00.91
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C1.txt, 3:03.99
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C2.txt, 9:09.09
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C3.txt, 58:02.17
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F1.txt, 0:18.25
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F2.txt, 1:11.52
