query,time
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_F1.txt, 0:37.29
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_F2.txt, 0:11.18
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_F3.txt, 1:01.67
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_F4.txt, 2:05.58
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_F5.txt, 1:28.95
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_L1.txt, 2:16.39
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_L2.txt, 6:21.67
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_L3.txt, 0:33.99
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_L4.txt, 0:44.33
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_L5.txt, 0:18.08
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S1.txt, 3:50.64
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S2.txt, 0:14.66
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S3.txt, 1:31.76
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S4.txt, 0:58.80
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S5.txt, 1:48.89
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S6.txt, 0:12.87
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_13_S7.txt, 0:05.20
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_C1.txt, 0:11.31
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_C2.txt, 21:35.34
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_C3.txt, 1:45:52
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_F1.txt, 0:38.25
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_F2.txt, 0:44.86
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_F3.txt, 1:01.56
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_F4.txt, 2:04.33
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_F5.txt, 5:19.29
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_L1.txt, 2:17.45
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_L2.txt, 6:23.33
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_L3.txt, 0:33.46
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_L4.txt, 0:45.27
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_L5.txt, 0:05.05
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S1.txt, 3:48.28
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S2.txt, 0:36.94
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S3.txt, 1:31.94
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S4.txt, 0:17.13
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S5.txt, 1:50.40
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S6.txt, 0:39.03
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_14_S7.txt, 0:05.38
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_C1.txt, 6:18.68
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_C2.txt, 21:32.83
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_C3.txt, 1:45:54
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_F1.txt, 0:38.47
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_F2.txt, 0:46.58
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_F3.txt, 1:01.61
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_F4.txt, 2:00.29
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_F5.txt, 5:17.96
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_L1.txt, 2:17.07
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_L2.txt, 6:21.57
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_L3.txt, 0:33.73
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_L4.txt, 0:44.12
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_L5.txt, 1:01.62
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S1.txt, 3:48.64
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S2.txt, 0:36.55
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S3.txt, 1:33.16
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S4.txt, 0:17.31
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S5.txt, 0:06.46
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S6.txt, 0:38.41
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_15_S7.txt, 0:05.17
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_16_C1.txt, 6:19.42
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_16_C2.txt, 21:31.03
