query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F1.txt, 0:01.19
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F2.txt, 0:15.87
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F3.txt, 0:01.11
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F4.txt, 0:01.27
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_F5.txt, 0:01.23
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L1.txt, 0:09.84
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L2.txt, 0:21.38
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L3.txt, 0:07.09
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L4.txt, 0:09.90
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_L5.txt, 0:20.77
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S1.txt, 0:27.97
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S2.txt, 0:24.93
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S3.txt, 0:21.29
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S4.txt, 0:22.03
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S5.txt, 0:18.22
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S6.txt, 0:08.42
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_13_S7.txt, 0:01.02
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C1.txt, 0:49.42
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C2.txt, 0:02.33
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_C3.txt, 0:42.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F1.txt, 0:09.56
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F2.txt, 0:37.66
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F3.txt, 0:04.27
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F4.txt, 0:01.33
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_F5.txt, 0:21.12
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L1.txt, 0:13.64
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L2.txt, 0:26.10
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L3.txt, 0:05.77
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L4.txt, 0:12.36
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_L5.txt, 0:20.37
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S1.txt, 0:28.07
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S2.txt, 0:12.48
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S3.txt, 0:19.89
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S4.txt, 0:26.60
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S5.txt, 0:17.80
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S6.txt, 0:07.99
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_14_S7.txt, 0:00.96
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_C1.txt, 0:01.77
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_C2.txt, 0:01.27
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_C3.txt, 0:01.26
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_F1.txt, 0:01.30
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_F2.txt, 0:01.58
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_F3.txt, 0:01.46
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_F4.txt, 0:16.48
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_F5.txt, 0:01.25
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_L1.txt, 0:13.57
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_L2.txt, 0:19.92
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_L3.txt, 0:05.83
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_L4.txt, 0:12.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_L5.txt, 0:22.10
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S1.txt, 0:01.53
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S2.txt, 0:12.08
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S3.txt, 0:24.66
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S4.txt, 0:20.97
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S5.txt, 0:17.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S6.txt, 0:08.05
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_15_S7.txt, 0:01.03
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_C1.txt, 0:01.29
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_C2.txt, 1:41.80
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_C3.txt, 0:01.86
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_F1.txt, 0:01.15
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_F2.txt, 0:02.23
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_F3.txt, 0:01.11
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_F4.txt, 0:01.57
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_F5.txt, 0:01.08
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_L1.txt, 0:14.94
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_16_L2.txt, 0:30.56
